Name,Job_Role,Experience_Numeric_Weight,Technical_Skill_Proficiency,P1_Big5_Openness,P1_Big5_Conscientiousness,P1_Big5_Extraversion,P1_Big5_Agreeableness,P1_Big5_Neuroticism,P1_Dark_Machiavellianism,P1_Dark_Narcissism,P1_Dark_Psychopathy,P2_Behavior_Self_Efficacy,P2_Behavior_Self_Monitoring,P2_Behavior_Proactivity,P2_Behavior_Action_Orient,P2_Behavior_Psych_Capital,P3_Attitude_Utilitarian,P3_Attitude_Value_Express,P3_Attitude_Ego_Defensive,P3_Attitude_Knowledge,P4_Emotion_Pos_High_Act,P4_Emotion_Prosocial_Aff,P4_Emotion_Neg_High_Act,P4_Emotion_Neg_Low_Act,P4_Emotion_Threat_Apprehend,P5_Comm_Instrumental,P5_Comm_Expressive,P5_Comm_Controlled,P6_EI_Self_Control,P6_EI_Conflict_Management,P6_EI_Empathy_Resolution,P6_EI_Isolated_Focus,P7_Value_Openness_Change,P7_Value_Conservation,P7_Value_Social_Focus,P7_Value_Personal_Focus,P8_Interdep_Positive,P8_Interdep_Negative,P8_Interdep_No,Cluster_ID,PCA_X,PCA_Y
Michael Dodson,Marketing Manager,1.0,0.95,0.82,0.76,0.99,0.29,0.47,0.31,0.6,0.26,0.79,0.7,0.68,0.95,0.48,0.73,0.6,0.17,0.73,0.62,0.56,0.19,0.32,0.11,0.63,0.79,0.38,0.59,0.47,0.69,0.66,0.99,0.36,0.77,0.48,0.93,0.52,0.33,0,-1.0980756203976723,1.9234828836420856
Laurie Phillips,Marketing Manager,1.0,0.97,0.81,0.91,0.39,0.36,0.25,0.19,0.51,0.11,0.63,0.48,0.46,0.64,0.53,0.35,0.3,0.58,0.77,0.21,0.3,0.4,0.5,0.36,0.7,0.09,0.81,0.78,0.64,0.28,0.99,0.69,0.6,0.48,0.67,0.08,0.41,0.9,1,3.570700460373996,-2.507158053139052
Christina Mullins,Data Scientist,0.0,0.76,0.52,0.6,0.65,0.76,0.43,0.27,0.34,0.27,0.61,0.63,0.46,0.6,0.64,0.32,0.67,0.57,0.18,0.67,0.99,0.27,0.41,0.31,0.35,0.41,0.63,0.63,0.73,0.78,0.56,0.99,0.58,0.78,0.17,0.92,0.47,0.26,3,-2.60352816925916,0.4312784022839447
Donald Fernandez,Marketing Manager,0.5,0.9,0.51,0.71,0.39,0.52,0.32,0.38,0.5,0.24,0.72,0.49,0.46,0.87,0.9,0.57,0.26,0.46,0.66,0.3,0.14,0.29,0.45,0.32,0.99,0.5,0.99,0.66,0.63,0.5,0.88,0.63,0.26,0.45,0.92,0.17,0.3,0.99,1,3.183069178205825,-1.4083389196757807
Kristi Johnson,Data Scientist,0.0,0.7,0.72,0.67,0.62,0.38,0.5,0.58,0.65,0.04,0.8,0.52,0.99,0.71,0.59,0.65,0.55,0.57,0.59,0.64,0.23,0.4,0.17,0.04,0.88,0.85,0.5,0.8,0.8,0.48,0.24,0.97,0.41,0.68,0.62,0.79,0.29,0.38,0,-0.5876839854465153,2.342057270085797
Harold Miller,Software Engineer,0.5,0.89,0.65,0.99,0.44,0.25,0.24,0.3,0.25,0.3,0.56,0.54,0.49,0.65,0.6,0.64,0.15,0.4,0.8,0.36,0.61,0.45,0.82,0.53,0.7,0.16,0.68,0.55,0.47,0.22,0.95,0.71,0.68,0.18,0.79,0.59,0.17,0.72,1,3.8344188381052895,-2.3279791587315555
Anna Christensen,Marketing Manager,1.0,0.94,0.76,0.52,0.84,0.96,0.53,0.14,0.14,0.1,0.87,0.48,0.24,0.61,0.73,0.4,0.89,0.17,0.32,0.99,0.7,0.09,0.47,0.24,0.44,0.82,0.76,0.7,0.99,0.53,0.41,0.52,0.76,0.87,0.25,0.95,0.33,0.4,3,-3.8873821711044454,-1.2103024910119264
Matthew Reynolds,Marketing Manager,0.5,0.8,0.29,0.55,0.5,0.89,0.19,0.29,0.28,0.01,0.43,0.75,0.43,0.52,0.94,0.51,0.99,0.2,0.5,0.76,0.77,0.17,0.27,0.55,0.56,0.87,0.84,0.89,0.68,0.98,0.45,0.75,0.52,0.93,0.35,0.7,0.09,0.41,3,-4.128806277825455,-1.4265853955321313
Lauren Padilla,Data Scientist,0.0,0.74,0.65,0.45,0.66,0.9,0.44,0.3,0.19,0.33,0.61,0.56,0.52,0.82,0.82,0.4,0.99,0.04,0.41,0.46,0.91,0.27,0.53,0.34,0.39,0.75,0.62,0.5,0.99,0.93,0.33,0.74,0.66,0.83,0.26,0.94,0.26,0.18,3,-3.933449194420766,-0.15881663331756557
Douglas Ferguson,Marketing Manager,0.5,0.9,0.85,0.97,0.15,0.51,0.32,0.46,0.47,0.49,0.43,0.31,0.7,0.49,0.72,0.87,0.45,0.19,0.83,0.72,0.68,0.38,0.3,0.66,0.92,0.16,0.8,0.69,0.35,0.5,0.99,0.66,0.78,0.09,0.99,0.41,0.46,0.88,1,3.984019665238384,-1.9495854652368085
Vincent Campbell,Marketing Manager,0.5,0.85,0.77,0.73,0.16,0.43,0.41,0.53,0.15,0.2,0.77,0.12,0.37,0.6,0.48,0.73,0.43,0.32,0.91,0.76,0.7,0.06,0.54,0.37,0.82,0.24,0.77,0.67,0.36,0.32,0.78,0.74,0.69,0.48,0.68,0.44,0.44,0.99,1,3.2916079745465447,-3.094955998163417
Warren Robinson,Marketing Manager,1.0,0.97,0.7,0.64,0.97,0.57,0.51,0.4,0.45,0.63,0.6,0.63,0.89,0.95,0.85,0.99,0.63,0.22,0.67,0.8,0.54,0.25,0.37,0.31,0.51,0.9,0.38,0.42,0.71,0.34,0.49,0.42,0.2,0.89,0.65,0.62,0.59,0.28,0,-0.9130550406875848,3.430701583775884
Jackie Hudson,Marketing Manager,1.0,0.97,0.68,0.81,0.99,0.84,0.78,0.31,0.99,0.25,0.76,0.75,0.76,0.86,0.55,0.61,0.84,0.34,0.72,0.92,0.73,0.15,0.34,0.21,0.72,0.91,0.32,0.45,0.41,0.52,0.6,0.83,0.15,0.58,0.53,0.53,0.46,0.22,0,-1.211775345973172,3.2772474827331117
Matthew Houston,Marketing Manager,0.0,0.77,0.94,0.95,0.37,0.54,0.45,0.37,0.36,0.01,0.69,0.36,0.39,0.62,0.65,0.82,0.49,0.51,0.96,0.46,0.53,0.09,0.39,0.32,0.99,0.35,0.55,0.74,0.59,0.44,0.95,0.33,0.2,0.17,0.77,0.63,0.13,0.72,1,2.6548641066119973,-2.45396278652333
Brian Mendoza,Data Scientist,1.0,0.89,0.38,0.72,0.76,0.71,0.42,0.32,0.45,0.15,0.44,0.9,0.51,0.39,0.99,0.71,0.74,0.57,0.61,0.64,0.76,0.5,0.18,0.41,0.37,0.68,0.75,0.69,0.79,0.99,0.54,0.75,0.45,0.77,0.36,0.9,0.05,0.41,3,-2.9671488771790804,0.4403431384555083
Jennifer Marsh,HR Executive,0.5,0.87,0.3,0.67,0.62,0.74,0.11,0.2,0.18,0.18,0.72,0.71,0.5,0.63,0.8,0.6,0.8,0.41,0.69,0.5,0.77,0.24,0.43,0.59,0.38,0.76,0.72,0.74,0.99,0.65,0.4,0.75,0.72,0.86,0.48,0.81,0.08,0.16,3,-3.0001043023904086,-1.1818494503835284
Kimberly Bates,Marketing Manager,0.5,0.87,0.54,0.85,0.59,0.74,0.57,0.35,0.01,0.07,0.38,0.61,0.08,0.58,0.63,0.41,0.51,0.26,0.54,0.93,0.99,0.37,0.25,0.6,0.22,0.54,0.59,0.99,0.82,0.82,0.08,0.79,0.69,0.97,0.26,0.74,0.01,0.31,3,-3.517452171832735,-1.8742072638261518
Tara Gonzalez,Marketing Manager,0.0,0.74,0.46,0.58,0.79,0.76,0.28,0.21,0.18,0.1,0.78,0.77,0.63,0.79,0.87,0.11,0.79,0.16,0.87,0.76,0.76,0.33,0.31,0.04,0.58,0.69,0.81,0.73,0.99,0.91,0.45,0.58,0.6,0.59,0.33,0.63,0.03,0.17,3,-4.0501943230526845,-1.4189391926398223
Tricia Mckenzie,Marketing Manager,0.5,0.88,0.62,0.42,0.44,0.43,0.58,0.73,0.76,0.99,0.82,0.82,0.67,0.52,0.04,0.7,0.28,0.52,0.33,0.15,0.24,0.87,0.67,0.61,0.61,0.16,0.14,0.16,0.22,0.28,0.45,0.6,0.42,0.25,0.99,0.12,0.86,0.5,2,6.514989342960682,5.378346822009795
Heather Peters,Software Engineer,1.0,0.95,0.79,0.68,0.82,0.58,0.42,0.49,0.64,0.27,0.87,0.67,0.58,0.99,0.86,0.5,0.68,0.15,0.63,0.63,0.54,0.16,0.31,0.35,0.58,0.77,0.37,0.68,0.6,0.72,0.13,0.7,0.18,0.68,0.83,0.74,0.32,0.01,0,-2.1715173411352056,2.233818792359014
Melinda Knight,Marketing Manager,0.5,0.86,0.28,0.95,0.86,0.41,0.49,0.78,0.67,0.84,0.69,0.53,0.53,0.67,0.64,0.99,0.46,0.76,0.01,0.49,0.25,0.77,0.51,0.35,0.83,0.54,0.5,0.49,0.44,0.24,0.59,0.56,0.47,0.4,0.95,0.61,0.99,0.51,2,4.4371161685299905,4.4725954972193085
William Medina,HR Executive,1.0,0.88,0.56,0.85,0.19,0.43,0.33,0.24,0.61,0.46,0.81,0.33,0.4,0.81,0.65,0.68,0.53,0.53,0.83,0.38,0.25,0.39,0.78,0.23,0.96,0.2,0.68,0.79,0.41,0.49,0.88,0.6,0.73,0.34,0.54,0.27,0.01,0.86,1,3.765372484365675,-2.672875406854087
Pamela Adams,Marketing Manager,0.0,0.7,0.76,0.77,0.84,0.7,0.49,0.06,0.33,0.15,0.62,0.95,0.44,0.4,0.8,0.34,0.99,0.35,0.54,0.54,0.57,0.1,0.32,0.51,0.62,0.78,0.55,0.79,0.77,0.99,0.27,0.64,0.22,0.82,0.48,0.69,0.09,0.42,3,-3.343856314414974,-0.0722615204634683
Felicia Clements,Marketing Manager,0.0,0.76,0.63,0.74,0.53,0.73,0.3,0.05,0.32,0.01,0.4,0.86,0.7,0.51,0.57,0.07,0.99,0.27,0.51,0.65,0.56,0.34,0.6,0.18,0.81,0.73,0.85,0.8,0.9,0.99,0.42,0.71,0.26,0.62,0.42,0.99,0.22,0.21,3,-3.5711035010984613,-0.78499559143756
Karen Soto,Marketing Manager,0.5,0.88,0.65,0.81,0.16,0.9,0.44,0.22,0.48,0.37,0.72,0.53,0.38,0.63,0.3,0.5,0.72,0.65,0.86,0.75,0.43,0.31,0.46,0.38,0.77,0.47,0.77,0.76,0.6,0.51,0.7,0.5,0.62,0.32,0.76,0.4,0.69,0.65,1,2.2415653830900912,-1.2029293925688482
Andrew Parker,Marketing Manager,0.0,0.74,0.67,0.82,0.31,0.51,0.46,0.28,0.16,0.51,0.84,0.34,0.57,0.97,0.48,0.73,0.24,0.38,0.94,0.33,0.42,0.47,0.54,0.23,0.86,0.38,0.77,0.81,0.36,0.51,0.68,0.46,0.72,0.35,0.68,0.24,0.42,0.62,1,3.7216769129614535,-2.1858380226497744
Justin Anderson,Marketing Manager,0.0,0.75,0.57,0.55,0.61,0.49,0.62,0.58,0.99,0.71,0.56,0.46,0.66,0.48,0.64,0.75,0.22,0.93,0.64,0.48,0.35,0.74,0.54,0.72,0.84,0.42,0.6,0.01,0.66,0.04,0.51,0.54,0.43,0.4,0.69,0.34,0.71,0.54,2,5.387167577995618,4.140354123037811
Angel Michael,Marketing Manager,0.5,0.86,0.45,0.41,0.67,0.35,0.42,0.87,0.72,0.38,0.58,0.9,0.54,0.22,0.52,0.66,0.38,0.77,0.76,0.42,0.08,0.68,0.32,0.52,0.99,0.64,0.71,0.42,0.37,0.15,0.64,0.53,0.57,0.08,0.86,0.06,0.85,0.6,2,5.272607285283116,3.3819563745199654
Kimberly Wells,Marketing Manager,1.0,0.99,0.64,0.53,0.37,0.33,0.55,0.29,0.44,0.46,0.57,0.32,0.49,0.93,0.5,0.61,0.52,0.31,0.87,0.27,0.78,0.15,0.4,0.4,0.99,0.1,0.99,0.76,0.51,0.3,0.94,0.59,0.79,0.2,0.73,0.32,0.15,0.96,1,3.691008290842265,-3.0753578877423537
Yolanda Andrews,Marketing Manager,0.5,0.84,0.99,0.97,0.81,0.22,0.25,0.81,0.51,0.57,0.76,0.61,0.97,0.9,0.88,0.65,0.81,0.49,0.87,0.76,0.71,0.32,0.23,0.22,0.55,0.49,0.68,0.49,0.66,0.49,0.36,0.77,0.54,0.56,0.99,0.87,0.33,0.45,0,-0.13733252292685658,1.878334254900028
Jerry Brown,Marketing Manager,0.0,0.79,0.95,0.95,0.9,0.65,0.3,0.25,0.5,0.3,0.86,0.99,0.86,0.98,0.68,0.6,0.45,0.24,0.78,0.85,0.69,0.43,0.2,0.57,0.69,0.92,0.44,0.71,0.84,0.63,0.05,0.85,0.53,0.73,0.82,0.44,0.29,0.46,0,-1.764264336337539,1.6815342046552282
Nicole Haley,Marketing Manager,1.0,0.89,0.93,0.72,0.74,0.5,0.22,0.45,0.62,0.55,0.76,0.67,0.99,0.99,0.82,0.61,0.58,0.07,0.56,0.87,0.52,0.49,0.22,0.14,0.75,0.99,0.45,0.62,0.83,0.51,0.59,0.61,0.29,0.6,0.77,0.4,0.6,0.46,0,-0.9162467324097566,2.9941820361786844
Linda Rogers,Marketing Manager,0.0,0.73,0.54,0.99,0.01,0.38,0.33,0.44,0.38,0.22,0.75,0.25,0.28,0.81,0.7,0.94,0.33,0.5,0.81,0.68,0.6,0.38,0.4,0.54,0.9,0.2,0.55,0.61,0.68,0.62,0.68,0.52,0.79,0.18,0.83,0.31,0.54,0.73,1,3.8559607908998825,-2.0066906752014573
Glenn Miller,HR Executive,1.0,0.91,0.68,0.98,0.03,0.93,0.52,0.31,0.31,0.21,0.99,0.53,0.43,0.51,0.78,0.83,0.56,0.39,0.81,0.75,0.72,0.45,0.6,0.44,0.59,0.15,0.92,0.84,0.61,0.5,0.99,0.69,0.69,0.32,0.59,0.53,0.49,0.99,1,2.241775986361874,-3.224593337103726
Joshua Bishop,Marketing Manager,0.5,0.8,0.35,0.77,0.83,0.9,0.08,0.41,0.61,0.17,0.73,0.78,0.63,0.58,0.79,0.54,0.99,0.04,0.58,0.52,0.99,0.16,0.08,0.4,0.71,0.85,0.63,0.81,0.99,0.72,0.28,0.58,0.37,0.8,0.52,0.93,0.3,0.32,3,-4.155268426802445,0.4492706832032461
Michael Reynolds,Software Engineer,1.0,0.93,0.74,0.77,0.72,0.54,0.01,0.24,0.27,0.26,0.64,0.73,0.19,0.72,0.7,0.34,0.59,0.02,0.82,0.82,0.97,0.22,0.04,0.62,0.51,0.77,0.55,0.44,0.99,0.69,0.38,0.77,0.6,0.92,0.55,0.73,0.22,0.27,3,-3.172339390391721,-0.5884320951854142
William Henderson,Marketing Manager,0.0,0.78,0.9,0.66,0.12,0.59,0.39,0.28,0.5,0.28,0.76,0.52,0.44,0.94,0.48,0.8,0.67,0.19,0.8,0.67,0.62,0.32,0.34,0.54,0.98,0.13,0.57,0.68,0.54,0.41,0.95,0.59,0.28,0.29,0.76,0.36,0.13,0.58,1,2.673608509603991,-1.5553543070474856
Troy Liu,Marketing Manager,1.0,0.98,0.9,0.68,0.93,0.4,0.17,0.57,0.74,0.23,0.74,0.87,0.74,0.81,0.74,0.43,0.68,0.36,0.75,0.87,0.87,0.57,0.26,0.27,0.96,0.88,0.32,0.74,0.89,0.84,0.34,0.78,0.21,0.7,0.86,0.62,0.38,0.09,0,-2.3368942205623853,3.3646072430988405
Eric Fox,Marketing Manager,0.0,0.71,0.47,0.3,0.81,0.39,0.49,0.91,0.74,0.61,0.72,0.54,0.55,0.52,0.33,0.9,0.63,0.69,0.25,0.15,0.23,0.65,0.53,0.57,0.51,0.18,0.44,0.37,0.29,0.05,0.67,0.74,0.49,0.12,0.86,0.1,0.96,0.51,2,5.870848357284389,4.421281492173669
Brandon Brooks,Marketing Manager,0.5,0.89,0.61,0.74,0.29,0.51,0.21,0.3,0.33,0.48,0.56,0.19,0.53,0.87,0.68,0.75,0.41,0.5,0.97,0.46,0.31,0.21,0.58,0.17,0.99,0.23,0.8,0.76,0.35,0.38,0.87,0.57,0.44,0.2,0.93,0.46,0.18,0.98,1,3.8762653601250596,-2.677354912915674
Stephanie Spencer,Marketing Manager,1.0,0.93,0.57,0.69,0.68,0.92,0.51,0.12,0.04,0.27,0.9,0.81,0.39,0.58,0.63,0.5,0.55,0.2,0.45,0.72,0.8,0.28,0.3,0.15,0.54,0.74,0.45,0.99,0.92,0.83,0.51,0.93,0.53,0.9,0.2,0.83,0.17,0.33,3,-3.7624888532612273,-0.7458958369725575
Dennis Graham,Marketing Manager,0.0,0.72,0.74,0.78,0.58,0.65,0.39,0.41,0.35,0.07,0.79,0.53,0.8,0.94,0.71,0.6,0.61,0.5,0.89,0.91,0.57,0.43,0.46,0.32,0.93,0.69,0.3,0.5,0.62,0.84,0.51,0.75,0.47,0.63,0.99,0.65,0.17,0.37,0,-0.3807346741525432,0.7753266143700657
James Salazar,Marketing Manager,1.0,0.91,0.83,0.58,0.94,0.98,0.23,0.01,0.3,0.17,0.83,0.99,0.45,0.72,0.91,0.56,0.82,0.01,0.58,0.53,0.82,0.4,0.35,0.47,0.5,0.56,0.22,0.77,0.82,0.7,0.04,0.54,0.52,0.95,0.38,0.99,0.04,0.43,3,-4.447595986051393,-0.02605077467976557
Brandon Alvarez,Software Engineer,0.0,0.78,0.74,0.52,0.48,0.26,0.39,0.78,0.78,0.66,0.85,0.63,0.32,0.99,0.3,0.95,0.12,0.84,0.38,0.03,0.21,0.74,0.47,0.59,0.71,0.46,0.43,0.34,0.32,0.17,0.69,0.51,0.4,0.33,0.88,0.2,0.99,0.32,2,6.6593003040252725,4.038247733367498
Kimberly Hunter,Marketing Manager,0.0,0.76,0.66,0.53,0.77,0.79,0.12,0.29,0.52,0.26,0.79,0.67,0.31,0.82,0.99,0.63,0.7,0.08,0.44,0.45,0.83,0.49,0.28,0.35,0.66,0.69,0.91,0.99,0.83,0.76,0.4,0.6,0.38,0.99,0.53,0.87,0.01,0.12,3,-3.3591692686637424,-0.6397736213809214
Anita Joyce,Marketing Manager,0.5,0.82,0.76,0.69,0.91,0.75,0.04,0.42,0.37,0.04,0.72,0.88,0.57,0.49,0.73,0.44,0.78,0.43,0.56,0.56,0.99,0.28,0.43,0.38,0.48,0.72,0.18,0.59,0.9,0.44,0.31,0.75,0.67,0.94,0.49,0.99,0.36,0.33,3,-3.332531099811321,1.0885509189567197
Kenneth Hubbard,Data Scientist,0.5,0.82,0.62,0.62,0.82,0.71,0.26,0.57,0.6,0.27,0.89,0.64,0.79,0.54,0.71,0.58,0.57,0.41,0.8,0.88,0.7,0.49,0.21,0.18,0.75,0.84,0.71,0.78,0.62,0.58,0.5,0.99,0.49,0.64,0.56,0.55,0.44,0.45,0,-1.2684593825965862,1.658014679578863
Linda Russell,Marketing Manager,1.0,0.92,0.7,0.79,0.13,0.74,0.33,0.53,0.26,0.43,0.87,0.37,0.39,0.6,0.5,0.86,0.47,0.23,0.81,0.48,0.13,0.32,0.56,0.38,0.84,0.37,0.7,0.76,0.67,0.22,0.8,0.99,0.63,0.34,0.71,0.59,0.16,0.99,1,3.2825810736988132,-2.2436492215387758
Kevin Mcknight,Financial Analyst,1.0,0.99,0.43,0.39,0.86,0.57,0.29,0.33,0.08,0.01,0.83,0.83,0.46,0.78,0.98,0.44,0.61,0.19,0.64,0.67,0.99,0.02,0.08,0.33,0.38,0.66,0.33,0.75,0.84,0.95,0.31,0.63,0.73,0.65,0.43,0.6,0.07,0.12,3,-4.302790924120412,-0.42352572673549754
Lance Keller,Marketing Manager,0.5,0.89,0.6,0.85,0.16,0.44,0.47,0.37,0.51,0.29,0.8,0.29,0.3,0.64,0.49,0.67,0.29,0.53,0.74,0.45,0.45,0.52,0.71,0.67,0.61,0.24,0.67,0.71,0.5,0.36,0.75,0.55,0.2,0.16,0.88,0.62,0.5,0.99,1,4.479689878388931,-1.0976656174068011
Michael Clark,Marketing Manager,0.0,0.72,0.5,0.37,0.64,0.91,0.18,0.15,0.47,0.17,0.52,0.86,0.58,0.22,0.86,0.46,0.75,0.38,0.5,0.75,0.61,0.31,0.59,0.15,0.34,0.64,0.62,0.59,0.91,0.98,0.38,0.38,0.7,0.99,0.47,0.91,0.23,0.45,3,-3.780059275156552,0.145471722127628
Chad Grant,Marketing Manager,1.0,0.96,0.91,0.92,0.28,0.3,0.35,0.42,0.18,0.24,0.57,0.34,0.3,0.48,0.65,0.61,0.38,0.3,0.99,0.59,0.56,0.23,0.53,0.37,0.68,0.59,0.84,0.73,0.3,0.26,0.84,0.61,0.69,0.45,0.76,0.52,0.33,0.72,1,2.7365420836909404,-2.95430127352786
Brandi Tate,Marketing Manager,0.5,0.82,0.85,0.68,0.9,0.66,0.44,0.4,0.65,0.37,0.7,0.73,0.53,0.87,0.85,0.76,0.59,0.4,0.91,0.99,0.55,0.42,0.42,0.02,0.65,0.95,0.65,0.66,0.47,0.59,0.31,0.9,0.23,0.5,0.44,0.88,0.34,0.42,0,-1.5302909040471528,1.8876335191280906
Micheal Rivera,Marketing Manager,0.5,0.82,0.28,0.65,0.64,0.82,0.3,0.3,0.55,0.05,0.77,0.86,0.15,0.48,0.61,0.47,0.8,0.3,0.55,0.67,0.85,0.19,0.42,0.14,0.33,0.77,0.54,0.58,0.93,0.76,0.17,0.62,0.42,0.84,0.3,0.77,0.12,0.45,3,-3.640181541706405,-0.012226402971626898
Terri Harrison,Data Scientist,0.5,0.85,0.86,0.71,0.72,0.81,0.29,0.24,0.34,0.17,0.78,0.75,0.4,0.51,0.5,0.7,0.88,0.13,0.56,0.6,0.99,0.04,0.32,0.28,0.57,0.73,0.34,0.71,0.7,0.86,0.52,0.39,0.43,0.77,0.29,0.96,0.17,0.36,3,-3.209522768593814,-0.5209153486242513
Edward Ellis,Marketing Manager,0.5,0.86,0.73,0.82,0.32,0.73,0.38,0.46,0.33,0.41,0.86,0.35,0.44,0.77,0.5,0.73,0.4,0.46,0.83,0.4,0.62,0.39,0.44,0.46,0.55,0.61,0.75,0.36,0.63,0.34,0.99,0.72,0.36,0.39,0.78,0.57,0.38,0.66,1,2.8495708022951063,-0.7455396280538664
Jonathan Wood,Marketing Manager,0.5,0.89,0.73,0.99,0.23,0.54,0.43,0.34,0.29,0.31,0.61,0.22,0.69,0.81,0.61,0.95,0.41,0.6,0.88,0.35,0.73,0.5,0.43,0.51,0.74,0.42,0.39,0.5,0.6,0.41,0.88,0.5,0.88,0.53,0.72,0.34,0.45,0.99,1,3.730809773950204,-1.5374124694189202
Michael Montoya,Marketing Manager,1.0,0.89,0.49,0.91,0.22,0.44,0.45,0.51,0.28,0.18,0.81,0.49,0.35,0.96,0.5,0.84,0.52,0.49,0.76,0.24,0.45,0.35,0.31,0.54,0.79,0.18,0.84,0.74,0.34,0.64,0.99,0.54,0.57,0.4,0.99,0.29,0.16,0.71,1,3.880760671280665,-2.527444519020516
Brandon Mcdonald,Marketing Manager,1.0,0.99,0.55,0.53,0.79,0.99,0.32,0.22,0.15,0.23,0.97,0.69,0.49,0.52,0.73,0.01,0.81,0.12,0.36,0.81,0.69,0.2,0.52,0.09,0.22,0.79,0.77,0.51,0.91,0.94,0.01,0.77,0.68,0.8,0.54,0.99,0.22,0.23,3,-4.970696730468759,-0.13384819460494418
Sandra Yoder,Marketing Manager,0.0,0.8,0.7,0.77,0.32,0.65,0.29,0.33,0.5,0.41,0.78,0.76,0.8,0.49,0.35,0.82,0.65,0.37,0.77,0.38,0.27,0.52,0.39,0.45,0.53,0.45,0.84,0.45,0.49,0.45,0.78,0.26,0.5,0.4,0.67,0.37,0.52,0.84,1,2.9643235372129237,-0.04541723066467624
Wyatt Ballard,Marketing Manager,0.0,0.77,0.66,0.81,0.04,0.56,0.44,0.36,0.32,0.21,0.83,0.4,0.55,0.73,0.77,0.8,0.48,0.63,0.91,0.7,0.54,0.07,0.65,0.42,0.79,0.34,0.7,0.68,0.36,0.64,0.83,0.64,0.46,0.39,0.78,0.46,0.15,0.61,1,2.590886235111951,-2.354434034505365
Heidi Gonzalez,Marketing Manager,1.0,0.92,0.99,0.85,0.81,0.18,0.1,0.35,0.71,0.41,0.78,0.67,0.85,0.77,0.77,0.65,0.4,0.32,0.7,0.99,0.43,0.43,0.33,0.23,0.44,0.9,0.61,0.63,0.71,0.33,0.52,0.99,0.18,0.85,0.92,0.53,0.34,0.19,0,-0.7851485066219877,2.686553385784203
Michael Foster,Marketing Manager,0.0,0.73,0.67,0.64,0.74,0.69,0.34,0.11,0.25,0.19,0.67,0.75,0.44,0.56,0.8,0.19,0.68,0.31,0.41,0.87,0.99,0.06,0.5,0.28,0.51,0.68,0.74,0.81,0.73,0.68,0.08,0.68,0.64,0.95,0.33,0.68,0.1,0.47,3,-3.848945805382446,-1.2472668748691491
Clayton Colon,Marketing Manager,1.0,0.93,0.77,0.77,0.34,0.46,0.2,0.22,0.1,0.05,0.82,0.36,0.53,0.97,0.56,0.8,0.45,0.81,0.4,0.39,0.55,0.24,0.53,0.39,0.93,0.13,0.78,0.72,0.47,0.47,0.99,0.45,0.62,0.17,0.86,0.27,0.01,0.97,1,3.506803395552214,-3.2035390913699406
Michael Morris,Marketing Manager,0.5,0.82,0.72,0.7,0.73,0.71,0.16,0.39,0.29,0.21,0.63,0.57,0.69,0.68,0.99,0.25,0.87,0.05,0.62,0.85,0.54,0.22,0.22,0.19,0.51,0.92,0.58,0.78,0.87,0.85,0.14,0.82,0.59,0.91,0.23,0.78,0.17,0.07,3,-4.790669624822996,0.03134475143200484
Dr. Jordan Wells,Marketing Manager,0.5,0.81,0.62,0.77,0.19,0.65,0.28,0.24,0.37,0.08,0.98,0.52,0.32,0.85,0.78,0.53,0.28,0.31,0.64,0.38,0.39,0.43,0.46,0.38,0.73,0.1,0.84,0.74,0.36,0.28,0.99,0.74,0.66,0.42,0.57,0.62,0.24,0.97,1,2.6675837266387403,-3.292217258295626
Jenna Garrison,Marketing Manager,0.5,0.85,0.56,0.32,0.55,0.51,0.65,0.8,0.99,0.45,0.48,0.91,0.61,0.46,0.22,0.87,0.43,0.64,0.48,0.4,0.29,0.58,0.69,0.69,0.7,0.42,0.38,0.23,0.28,0.26,0.84,0.69,0.59,0.31,0.68,0.29,0.95,0.31,2,5.219471892123657,4.575256044374444
Chloe Thomas,HR Executive,0.0,0.77,0.99,0.9,0.43,0.55,0.61,0.41,0.47,0.08,0.72,0.52,0.61,0.83,0.62,0.6,0.44,0.41,0.89,0.35,0.41,0.34,0.11,0.52,0.82,0.34,0.67,0.74,0.33,0.35,0.94,0.75,0.41,0.59,0.64,0.38,0.56,0.54,1,2.8452979953627713,-0.8905335333587453
Mr. Jeremiah Willis,Data Scientist,0.5,0.83,0.72,0.58,0.01,0.41,0.37,0.55,0.48,0.28,0.62,0.26,0.54,0.8,0.66,0.54,0.55,0.46,0.69,0.38,0.55,0.31,0.69,0.48,0.73,0.3,0.76,0.54,0.31,0.56,0.98,0.79,0.83,0.27,0.99,0.26,0.15,0.59,1,3.777110877622435,-1.9487202530621766
Christine Smith,Marketing Manager,1.0,0.94,0.7,0.5,0.67,0.96,0.16,0.07,0.03,0.09,0.77,0.62,0.55,0.57,0.7,0.53,0.99,0.4,0.5,0.99,0.99,0.18,0.18,0.47,0.48,0.62,0.58,0.69,0.73,0.99,0.42,0.78,0.67,0.71,0.26,0.99,0.22,0.08,3,-4.619770703940351,-0.8028403007307896
Daniel Greene,Marketing Manager,1.0,0.98,0.39,0.57,0.49,0.57,0.83,0.89,0.95,0.66,0.76,0.87,0.64,0.46,0.14,0.79,0.47,0.94,0.58,0.37,0.01,0.68,0.45,0.5,0.84,0.75,0.42,0.32,0.31,0.32,0.48,0.57,0.52,0.28,0.92,0.37,0.53,0.6,2,5.496304757411997,4.830755394392936
